ID,SMILES,InChIKey,#acid,#amide,#amidine,#amine,#in34,#in56,#metab,#NandO,#noncon,#nonHatm,#ringatoms,#rotor,#rtvFG,#stars,%Vbur_C_SF_2.0Å_Boltz,%Vbur_C_SF_2.5Å_Boltz,%Vbur_C_SF_3.0Å_Boltz,%Vbur_C_SF_3.5Å_Boltz,%Vbur_C_SF_4.0Å_Boltz,%Vbur_S_2.0Å_Boltz,%Vbur_S_2.5Å_Boltz,%Vbur_S_3.0Å_Boltz,%Vbur_S_3.5Å_Boltz,%Vbur_S_4.0Å_Boltz,accptHB,angle_C_SF_S_F(°)_Boltz,ChelpG_charge_C_SF_Boltz,ChelpG_charge_F_Boltz,ChelpG_charge_S_Boltz,CIQPlogS,CNS,dip^2/V,dipole,dipole(Debye)_Boltz,distance_C_SF_F(Å)_Boltz,distance_C_SF_S(Å)_Boltz,distance_S_F(Å)_Boltz,donorHB,EA(eV),FISA,FOSA,glob,Hirsh_atom_dipole_C_SF_Boltz,Hirsh_atom_dipole_F_Boltz,Hirsh_atom_dipole_S_Boltz,Hirsh_charge_C_SF_Boltz,Hirsh_charge_F_Boltz,Hirsh_charge_S_Boltz,Hirsh_CM5_charge_C_SF_Boltz,Hirsh_CM5_charge_F_Boltz,Hirsh_CM5_charge_S_Boltz,HOMO_Boltz,HumanOralAbsorption,IP(eV),Jm,LUMO_Boltz,mol MW,NBO_charge_C_SF_Boltz,NBO_charge_F_Boltz,NBO_O_avg_Boltz,NBO_charge_S_Boltz,NMR_shift_C_SF_Boltz,NMR_shift_F_Boltz,PercentHumanOralAbsorption,PISA,polar_aniso(Debye)_Boltz,polar_iso(Debye)_Boltz,PSA,pyramidalization_Agranat-Radhakrishnan_S_Boltz,pyramidalization_Gavrish_S(°)_Boltz,QPlogBB,QPlogHERG,QPlogKhsa,QPlogKp,QPlogPC16,QPlogPo/w,QPlogPoct,QPlogPw,QPlogS,QPPCaco,QPPMDCK,QPpolrz,RuleOfFive,RuleOfThree,SAamideO,SAfluorine,SASA,SASA_sphericity_Boltz,SASA_surface_area(Å²)_Boltz,SASA_volume(Å³)_Boltz,Sterimol_B1_S_C_SF(Å)_morfeus_Boltz,Sterimol_B1_S_F(Å)_morfeus_Boltz,Sterimol_B5_S_C_SF(Å)_morfeus_Boltz,Sterimol_B5_S_F(Å)_morfeus_Boltz,Sterimol_L_S_C_SF(Å)_morfeus_Boltz,Sterimol_L_S_F(Å)_morfeus_Boltz,volume,volume(Bohr_radius³/mol)_Boltz,WPSA,η_Boltz,μ_Boltz,ω_Boltz
0,O=S(C1=CC=C(C)C=C1)(F)=O,IZZYABADQVQHLC-UHFFFAOYSA-N,0,0,0,0,0,6,1,2,0,11,6,1,1,1,97.03641529,89.50221383,79.65025328,67.94283451,54.93393489,98.38100465,89.44768199,73.63909788,55.31762486,42.20815747,4,98.827,-0.126921,-0.2187245,0.933722,-1.276,0,0.1140324,8.045,6.131,2.58252,1.76847,1.63009,0,1.318,85.466,88.951,0.9042936,0.057499188,0.15840874,0.613506865,-0.029334,-0.14244,0.535237,-0.02096,-0.148683,0.607721,-0.33738,3,10.576,41.13,-0.03647,174.19,-0.37912,-0.49794,-0.891045,2.39513,28.1832,58.0888,87.992,141.781,67.94715,94.0465,39.622,0.694844351,5.098881324,-0.07,-3.757,-0.847,-2.499,4.742,0.689,9.034,5.884,-1.128,1532.581,1482.815,17.275,0,0,0,49.556,366.639,0.894530062,331.3975038,479.943447,2.083110636,2.093525166,3.257362682,7.695641271,8.164335429,3.500092355,567.642,1283.913,50.441,0.30091,-0.186925,0.05806
1,NC1=CC=C(C=C1)S(F)(=O)=O,BPUKPIBWYZWYQV-UHFFFAOYSA-N,0,0,0,0,0,6,1,3,0,11,6,2,1,0,97.03447201,89.41818041,79.57931463,67.90625767,54.90610982,98.39705957,89.51506167,73.68820497,55.37814139,42.25342252,5,99.66066634,-0.172130898,-0.22602532,0.939423075,-1.382,-1,0.1882597,10.055,8.09863259,2.590426771,1.754345161,1.634127854,1.5,0.959,153.801,0,0.9134238,0.061925535,0.166468428,0.606287955,-0.04868058,-0.149875404,0.52857028,-0.039741591,-0.156004415,0.60023828,-0.293164946,3,9.148,2.353,-0.01971,175.177,-0.435870322,-0.502517424,-0.896776234,2.398560429,40.68330127,57.27232352,72.663,151.548,78.02187025,92.71340868,67.604,0.705253134,5.197496748,-0.677,-3.656,-0.763,-3.628,5.428,0.052,12.461,9.334,-1.507,344.671,274.063,15.501,0,0,0,43.53,349.802,0.899737491,322.4688606,464.706918,1.990381668,2.102918162,3.264815498,7.502652785,7.924591796,3.504128071,537.024,1212.74846,44.453,0.273454946,-0.156437473,0.04475
2,O=C(Cl)c1ccc(S(=O)(=O)F)cc1,JMTAYFNTRRLWQG-UHFFFAOYSA-N,0,0,0,0,0,6,0,3,0,13,6,2,2,3,97.07838326,89.50709728,79.70891687,68.04649646,55.00861213,98.31805269,89.32152624,73.53061681,55.23551062,42.16451493,6,98.053,-0.117489,-0.208347,0.931705,-1.377,-1,0.0210598,3.598,1.8554,2.57255,1.77893,1.62576,0,2.092,142.76,0,0.8958596,0.057248446,0.147868191,0.620869874,-0.009847,-0.133025,0.542127,-0.001746,-0.139382,0.615386,-0.36614,2,11.032,15.695,-0.09039,222.618,-0.32962,-0.49162,-0.882255,2.39256,18.329,56.9791,74.2,130.991,88.8136,106.56,70.405,0.680791781,4.974659869,-0.457,-3.842,-1.287,-3.497,5.97,-0.006,9.785,8.03,-0.655,438.636,883.232,18.418,0,0,0,49.403,390.32,0.882929753,359.2657851,531.2351826,1.991808583,2.080222005,3.26016026,8.746259161,9.047582031,3.495756306,614.815,1336.171,116.569,0.27575,-0.228265,0.09448
3,OC(=O)C1=CC=C(C=C1)S(F)(=O)=O,DJUJJHDCOUPERR-UHFFFAOYSA-N,1,0,0,0,0,6,0,4,0,13,6,2,1,3,97.07354061,89.53314491,79.72893715,68.02844305,55.00162866,98.33096512,89.38501206,73.54365055,55.26637484,42.19574182,6,98.266,-0.086862,-0.207939,0.9072055,-1.501,-2,0.0594934,5.929,4.3936,2.57588,1.77651,1.62725,1,1.877,193.033,0,0.9021698,0.056206664,0.151230336,0.618709691,-0.014133,-0.136023,0.54014,-0.005969,-0.1423435,0.613145,-0.35635,2,10.891,0.389,-0.072,204.173,-0.33964,-0.49367,-0.88506,2.39246,20.02980001,57.3716501,58.378,134.284,81.0486,98.93854999,90.427,0.685970221,5.019417985,-1.015,-1.948,-1.013,-4.412,5.908,0.572,11.379,9.805,-1.457,37.065,33.621,17.489,0,0,0,49.241,377.444,0.887547218,348.7698259,512.1172043,1.991946927,2.08560554,3.258301186,8.661082911,9.061441386,3.497247827,590.831,1333.043045,50.127,0.28435,-0.214175,0.08066
4,O=S(=O)(F)c1ccc(Br)cc1,AOXWZFUBFROIHA-UHFFFAOYSA-N,0,0,0,0,0,6,0,2,0,11,6,1,1,2,97.08161157,89.47291314,79.6875,67.99175363,54.99037924,98.34065083,89.40128923,73.56600119,55.27219996,42.18817888,4,98.584,-0.095211,-0.21805,0.952955,-2.654,1,0.063631,5.968,3.9192,2.57844,1.77129,1.62792,0,1.576,85.491,0,0.905611,0.056401387,0.153297182,0.616629385,-0.024301,-0.137944,0.538201,-0.015972,-0.144234,0.610987,-0.33527,3,10.817,32.891,-0.05174,239.059,-0.37175,-0.49477,-0.88698,2.39588,26.4293,57.0539,89.298,149.577,86.7145,100.062,39.635,0.688306929,5.042332496,0.121,-3.773,-0.87,-2.472,5.271,0.913,8.657,5.955,-1.389,1531.739,3922.979,17.032,0,0,0,49.23,362.688,0.89402402,335.0286337,487.439235,1.991934456,2.087251617,3.260374831,8.209172466,8.674962427,3.497924141,559.713,1386.985,127.62,0.28353,-0.193505,0.06603
5,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,HRLAPUHJWRZEIC-UHFFFAOYSA-N,0,0,0,0,0,6,1,5,0,13,6,2,1,2,97.09452479,89.52663107,79.75268176,68.06687943,55.02762088,98.31482438,89.34268785,73.5250298,55.23085166,42.17848054,5,97.994,-0.115089,-0.204888,0.92257,-1.47,-1,0.0108747,2.519,0.6737,2.57134,1.77959,1.62497,0,2.75,185.794,0,0.9007334,0.056659162,0.146190011,0.621772089,-0.010349,-0.131551,0.542982,-0.002177,-0.137926,0.616327,-0.37324,2,11.51,2.84,-0.09658,205.16,-0.33357,-0.49058,-0.88097,2.39351,18.5684,56.6231,65.379,138.998,77.0501,96.1862,86.078,0.67848548,4.955103374,-0.961,-3.801,-1.11,-4.262,5.57,-0.265,8.6,7.332,-0.597,171.401,138.357,17.242,0,0,0,49.241,374.919,0.890600083,342.6638784,501.3031108,1.992782035,2.077896295,3.258368182,8.103895738,8.4724955,3.494972115,583.516,1205.63,50.127,0.27666,-0.23491,0.09973
6,O=S(C1=CC=C(Cl)C=C1)(F)=O,PCTLRVPDZBVCMP-UHFFFAOYSA-N,0,0,0,0,0,6,0,2,0,11,6,1,1,1,97.08161157,89.46477406,79.68656883,68.00689527,54.98378437,98.34065083,89.37524417,73.58462455,55.27278233,42.20253243,4,98.627,-0.083181,-0.210144,0.911418,-1.71,1,0.0538919,5.452,3.8998,2.57885,1.77055,1.62811,0,1.541,85.49,0,0.9082903,0.056362148,0.153656748,0.616350783,-0.025331,-0.138274,0.537953,-0.016964,-0.144559,0.610696,-0.34156,3,10.467,34.757,-0.05061,194.608,-0.37397,-0.49497,-0.88724,2.39596,27.3625,57.1231,88.494,150.328,76.8418,92.3467,39.634,0.688885455,5.047613671,0.112,-3.733,-0.893,-2.47,5.176,0.775,8.391,5.947,-1.298,1531.787,3666.822,16.711,0,0,0,49.229,358.082,0.896925978,328.4771941,475.5175505,1.992031606,2.087676072,3.257200193,7.951165941,8.415979292,3.498110116,551.523,1284.751,122.264,0.29095,-0.196085,0.06608
7,O=S(=O)(F)c1cccc(S(=O)(=O)Cl)c1,ZPGHDPUCQANFAD-UHFFFAOYSA-N,0,0,0,0,0,6,0,4,0,14,6,2,2,4,97.04639174,89.53531788,79.71187948,68.57849665,57.05314083,98.2506458,89.27327662,73.42848356,55.15700457,42.12814827,8,98.07500809,-0.079263963,-0.197917264,0.915487423,-1.215,-1,0.0804717,7.314,4.772018221,2.572029821,1.779276997,1.624098328,0,2.62,167.817,0,0.8805922,0.054358593,0.144694509,0.622368894,-0.013733468,-0.130267124,0.543335386,-0.005364034,-0.136644215,0.616839519,-0.377936867,2,11.65,19.035,-0.081751802,258.667,-0.353556737,-0.48954099,-0.87935429,2.396431071,22.74484362,56.66756922,65.251,128.088,56.95497687,115.4533344,79.207,0.675564991,4.931915705,-0.699,-4.075,-1.677,-3.969,6.572,-0.808,12.488,10.22,-0.164,253.801,526.484,20.392,0,0,0,49.507,418.341,0.871987667,384.8063063,577.9663441,2.329400622,2.074992042,5.404868607,8.062874095,8.0034591,3.504269977,664.83,1436.081876,122.437,0.296185065,-0.229844334,0.089181201
8,FS(C1=NC=CC=C1)(=O)=O,FCFXLXGZHDHJLB-UHFFFAOYSA-N,0,0,0,0,0,6,1,3,0,10,6,1,1,2,95.86131198,87.85079443,77.28741372,65.49600528,53.29161724,98.26317129,89.00898483,72.53100729,53.82180659,40.69890144,5,97.747,0.343373002,-0.199698,0.865261001,-0.536,0,0.1329213,8.131,6.5148,2.58568,1.80312,1.62606,0,1.521,110.429,0,0.9183905,0.134974983,0.148292809,0.621202046,0.03767,-0.1338,0.533278,0.126609,-0.1392585,0.615338,-0.36251,3,10.844,286.565,-0.05059,161.151,-0.09934,-0.49096,-0.87992,2.36704,6.473950003,72.52915,78.826,173.703,52.5635,75.7477,52.704,0.677676815,4.937593119,-0.256,-3.681,-1.318,-2.847,4.536,-0.153,9.139,7.168,0.097,888.589,782.185,14.768,0,0,0,45.494,330.574,0.909429053,298.6571382,420.9072397,2.025650045,2.078267992,3.318764709,6.638591951,7.0842027,3.496058205,497.389,946.7918598,46.442,0.31192,-0.20655,0.06839
9,OC(=O)C1=CC=CC(=C1)S(F)(=O)=O,VWYMBWGOJRULOV-UHFFFAOYSA-N,1,0,0,0,0,6,0,4,0,13,6,2,1,2,97.05733261,89.49676095,79.6936424,68.27296698,56.21281005,98.27987572,89.36111492,73.55682213,55.27437443,42.19956998,6,98.42350683,-0.078702825,-0.211962491,0.928402713,-1.501,-2,0.0344211,4.513,3.846517722,2.577906557,1.774909726,1.627560188,1,1.638,193.386,0,0.9010178,0.054914564,0.15233687,0.617688396,-0.021337721,-0.137056839,0.539085575,-0.012961666,-0.143359274,0.612046866,-0.358206353,2,10.931,0.374,-0.060518185,204.173,-0.368006832,-0.494318442,-0.885619795,2.394523236,24.60992476,58.04352935,58.328,134.733,74.17677604,97.88058356,90.378,0.686863248,5.028401737,-1.022,-1.969,-1.012,-4.417,5.911,0.574,11.048,9.812,-1.465,36.781,33.35,17.525,0,0,0,49.266,378.266,0.887368851,348.8490246,512.1371385,1.991929546,2.085937844,5.394700714,7.874959616,7.773556726,3.497561894,591.628,1328.675821,50.147,0.297688168,-0.209362269,0.073622089
