ID,SMILES_x,Yield_24h,test_set
0,O=S(C1=CC=C(C)C=C1)(F)=O,1.5,0
6,O=S(C1=CC=C(Cl)C=C1)(F)=O,23.1,0
8,FS(C1=NC=CC=C1)(=O)=O,76,0
11,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,62.9,0
28,O=S(C1=CC=C(C=CC=C2)C2=C1)(F)=O,4.5,2
29,FS(C1=CC=C(C2=CC=CC=C2)C=C1)(=O)=O,3.7,0
39,O=S(C1=CC=CC=C1Br)(F)=O,20.8,1
51,O=S(C1=C(C#N)C=CC=C1)(F)=O,87.4,2
56,O=S(C1=CC=CC(C(OC)=O)=C1)(F)=O,32.3,2
66,O=S(C1=NC(C)=CC(C)=N1)(F)=O,33.8,0
82,FS(C1=NC=CC=N1)(=O)=O,47.4,1
86,FS(C1=CC=CC(C#N)=C1)(=O)=O,74.9,1
88,ClC1=CC=C(S(=O)(F)=O)N=N1,45.1,2
93,O=S(C1=CC=CC=C1C(OC)=O)(F)=O,1.4,0
255,FS(C1=NC=C(Cl)C=C1)(=O)=O,93.7,1
766,O=S(=O)(F)c1ccc(Br)cn1,82.8,1
1132,CC1=CC(S(F)(=O)=O)=CC=C1,2.1,2
1778,FS(C1=NN=C(C2=CC=CC=C2)N1C)(=O)=O,95.8,0
1820,FS(C1=NN(C)C=C1)(=O)=O,4.4,2
1826,FS(C1=NC=NC2=C1N(C)C=N2)(=O)=O,15.3,2
1827,CN(C=N1)C2=C1C(S(F)(=O)=O)=NC=N2,7.2,0
1830,FS(C1=NN=CN1C)(=O)=O,54.3,1
2136,FC1=C(S(=O)(F)=O)C(F)=C(F)C(F)=C1F,18.6,2
2141,O=S(C1=CC=C(F)C(F)=C1)(F)=O,45.8,0
2187,BrC1=CC(S(=O)(F)=O)=C(F)C=C1,66.4,2
2220,O=S(C1=CC=C(F)C=C1)(F)=O,10.7,2
2237,O=S(C1=CC=CC=C1F)(F)=O,9.8,2
2722,O=S(=O)(F)c1ccnc(Cl)c1Cl,95.5,0
2790,ClC1=CC(S(F)(=O)=O)=CC=C1,34,1
2869,O=S(C1=CC=CC(Br)=C1)(F)=O,39.3,2
2912,O=S(C1=CC=CN=C1)(F)=O,58.1,0
2923,O=S(C1=CC=NC=C1)(F)=O,71.8,0
3015,FS(C1=NC=C(C)C=C1)(=O)=O,62.1,1
3035,FS(C1=NC=CC(C)=C1)(=O)=O,66.7,2
3036,FS(C1=NC=CC(Cl)=C1)(=O)=O,86.8,0
3040,FS(C1=NC=CN=C1)(=O)=O,96.4,2
3283,FS(C1=NN=CC=C1)(=O)=O,64,1
3317,FS(C1=NN=NN1C2=CC=CC=C2)(=O)=O,42.7,0
3387,FS(C1=NC(N=CN2C)=C2C=N1)(=O)=O,90.5,2
3388,O=S(C1=CC(OCCO2)=C2C=C1)(F)=O,2,2
3389,O=S(C1=CC=CC=C1S(=O)(F)=O)(F)=O,73.9,0
3391,FS(C1=CC=CS1)(=O)=O,3.7,2
3392,O=S(C1=CC=C(OC2=CC=CC=C2)C=C1)(F)=O,1.4,0
3393,O=S(C1=CC=CC(OC)=C1)(F)=O,4.1,0
3394,FS(C1=NC(N(C)C=N2)=C2C=N1)(=O)=O,77.7,2
3395,O=S(C1=CC=CC(S(=O)(F)=O)=C1)(F)=O,98.7,0
3397,O=S(C1=CC=CC=C1N(C)C)(F)=O,0.3,0
3398,O=S(C1=C(SC=C1)C(OC)=O)(F)=O,12.3,1
3404,O=S(CC1=CC=CC=C1)(F)=O,28.7,1
3780,BrC1=CC=C(S(=O)(F)=O)S1,26.6,2
3866,O=S(C1=CC(C2=C(C=CC=C2)O3)=C3C=C1)(F)=O,2.5,2
3876,O=S(C1=NC=CC(C#N)=C1)(F)=O,95.1,2
3400,FS(C1=NC=C(Cl)C=C1Cl)(=O)=O,87.7,0
3402,FS(C1=C(N=CC=C2)C2=CC=C1)(=O)=O,70,0
3404,O=S(CC1=CC=CC=C1)(F)=O,28.7,1
3405,O=S(C1=NC=C(F)C=C1)(F)=O,92.7,0
3406,O=S(C1=CC=C(C=NN2)C2=C1)(F)=O,3.6,0
3407,FS(C1=NC=C(C(F)(F)F)C=C1)(=O)=O,96.2,0
3408,FS(C1=NN=C(C)S1)(=O)=O,93.7,0
3409,O=S(C1=NC=CN1C)(F)=O,72,0
3410,O=S(C1=NC2=C(C=CC=C2)S1)(F)=O,61.1,0
3422,O=S(C1=CC=C(NC(C)=O)C=C1)(F)=O,2.1,0
